站次,站名_链接,站名,到达时间,开车时间,停留,天数,运行时间,里程,二等_一等座,硬卧上_中_下,软卧上_下
1,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,始发站,18:07,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,19:18,19:20,2分钟,1,1小时11分,151,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,20:16,20:18,2分钟,1,2小时9分,277,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4,沈阳站,23:23,23:28,5分钟,1,5小时16分,703,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%C4%CF,沈阳南站,23:40,终点站,0分钟,1,5小时33分,718,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%C4%CF,沈阳南站,始发站,08:54,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4,沈阳站,09:06,09:11,5分钟,1,12分,15,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C1%C9%D6%D0,辽中站,09:43,09:44,1分钟,1,49分,83,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F5%D6%DD%C4%CF,锦州南站,10:35,10:36,1分钟,1,1小时41分,238,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,12:55,12:57,2分钟,1,4小时1分,567,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,14:08,终点站,0分钟,1,5小时14分,718,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,始发站,18:16,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%BC%BB%D6%DD,蓟州站,18:58,19:00,2分钟,1,42分,83,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,20:22,20:24,2分钟,1,2小时6分,277,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BA%F9%C2%AB%B5%BA%B1%B1,葫芦岛北站,21:36,21:37,1分钟,1,3小时20分,299,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F5%D6%DD%C4%CF,锦州南站,21:57,21:58,1分钟,1,3小时41分,480,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C5%CC%BD%F5%B1%B1,盘锦北站,22:27,22:28,1分钟,1,4小时11分,549,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4,沈阳站,23:35,23:40,5分钟,1,5小时19分,703,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%C4%CF,沈阳南站,23:51,终点站,0分钟,1,5小时35分,718,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%C4%CF,沈阳南站,始发站,07:29,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4,沈阳站,07:40,07:45,5分钟,1,11分,15,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C5%CC%BD%F5%B1%B1,盘锦北站,08:46,08:48,2分钟,1,1小时17分,169,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F5%D6%DD%C4%CF,锦州南站,09:12,09:13,1分钟,1,1小时43分,238,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%BA%F9%C2%AB%B5%BA%B1%B1,葫芦岛北站,09:32,09:41,9分钟,1,2小时3分,281,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,10:48,10:49,1分钟,1,3小时19分,441,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,11:46,11:48,2分钟,1,4小时17分,567,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,12:59,终点站,0分钟,1,5小时30分,718,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%B1%B1,沈阳北站,始发站,12:16,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CC%A8%B0%B2,台安站,12:55,12:56,1分钟,1,39分,99,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C5%CC%BD%F5%B1%B1,盘锦北站,13:16,13:18,2分钟,1,1小时0分,154,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F5%D6%DD%C4%CF,锦州南站,13:43,13:45,2分钟,1,1小时27分,223,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C7%D8%BB%CA%B5%BA,秦皇岛站,14:55,14:58,3分钟,1,2小时39分,404,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,15:15,15:17,2分钟,1,2小时59分,426,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,17:23,终点站,0分钟,1,5小时7分,703,/,//," 
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,始发站,17:43,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,18:52,18:54,2分钟,1,1小时9分,151,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C9%BD%BA%A3%B9%D8,山海关站,20:21,20:24,3分钟,1,2小时38分,315,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BA%F9%C2%AB%B5%BA%B1%B1,葫芦岛北站,21:07,21:09,2分钟,1,3小时24分,437,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C5%CC%BD%F5%B1%B1,盘锦北站,21:55,21:56,1分钟,1,4小时12分,549,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%B1%B1,沈阳北站,23:00,终点站,0分钟,1,5小时17分,703,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,始发站,13:19,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,15:22,15:24,2分钟,1,2小时3分,277,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%CB%E7%D6%D0%B1%B1,绥中北站,16:16,16:17,1分钟,1,2小时57分,315,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F5%D6%DD%C4%CF,锦州南站,16:52,16:53,1分钟,1,3小时33分,480,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C5%CC%BD%F5%B1%B1,盘锦北站,17:18,17:19,1分钟,1,3小时59分,549,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%CC%A8%B0%B2,台安站,17:39,17:40,1分钟,1,4小时20分,604,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4,沈阳站,18:21,18:26,5分钟,1,5小时2分,703,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%C4%CF,沈阳南站,18:38,终点站,0分钟,1,5小时19分,718,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%C4%CF,沈阳南站,始发站,08:33,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4,沈阳站,08:45,08:52,7分钟,1,12分,15,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C5%CC%BD%F5%B1%B1,盘锦北站,09:50,09:51,1分钟,1,1小时17分,169,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BA%F9%C2%AB%B5%BA%B1%B1,葫芦岛北站,10:29,10:30,1分钟,1,1小时56分,281,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%CB%E7%D6%D0%B1%B1,绥中北站,10:52,10:53,1分钟,1,2小时19分,340,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,11:43,11:45,2分钟,1,3小时10分,441,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,13:49,终点站,0分钟,1,5小时16分,718,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,始发站,12:43,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,13:52,13:54,2分钟,1,1小时9分,151,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,14:49,14:51,2分钟,1,2小时6分,277,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BA%F9%C2%AB%B5%BA%B1%B1,葫芦岛北站,16:01,16:02,1分钟,1,3小时18分,437,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F5%D6%DD%C4%CF,锦州南站,16:19,16:20,1分钟,1,3小时36分,480,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4,沈阳站,17:38,17:42,4分钟,1,4小时55分,703,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%C4%CF,沈阳南站,17:54,终点站,0分钟,1,5小时11分,718,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%C4%CF,沈阳南站,始发站,06:42,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4,沈阳站,06:54,07:02,8分钟,1,12分,15,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F5%D6%DD%C4%CF,锦州南站,08:32,08:33,1分钟,1,1小时50分,238,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BA%F9%C2%AB%B5%BA%B1%B1,葫芦岛北站,08:50,08:51,1分钟,1,2小时8分,281,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%CB%E7%D6%D0%B1%B1,绥中北站,09:13,09:14,1分钟,1,2小时31分,340,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C9%BD%BA%A3%B9%D8,山海关站,09:38,09:40,2分钟,1,2小时56分,403,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,10:09,10:11,2分钟,1,3小时27分,441,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,12:15,终点站,0分钟,1,5小时33分,718,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,始发站,18:53,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,20:02,20:03,1分钟,1,1小时9分,151,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C7%D8%BB%CA%B5%BA,秦皇岛站,21:12,21:15,3分钟,1,2小时19分,299,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F5%D6%DD%C4%CF,锦州南站,22:27,22:29,2分钟,1,3小时34分,480,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%B1%B1,沈阳北站,23:58,终点站,0分钟,1,5小时5分,703,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%B1%B1,沈阳北站,始发站,08:19,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CC%A8%B0%B2,台安站,08:58,08:59,1分钟,1,39分,99,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F5%D6%DD%C4%CF,锦州南站,09:40,09:42,2分钟,1,1小时21分,223,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%C9%BD%BA%A3%B9%D8,山海关站,10:36,10:46,10分钟,1,2小时17分,388,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C7%D8%BB%CA%B5%BA,秦皇岛站,11:03,11:05,2分钟,1,2小时44分,404,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,13:29,终点站,0分钟,1,5小时10分,703,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,始发站,09:15,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,10:24,10:25,1分钟,1,1小时9分,151,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,11:20,11:21,1分钟,1,2小时5分,277,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BA%F9%C2%AB%B5%BA%B1%B1,葫芦岛北站,12:32,12:33,1分钟,1,3小时17分,437,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C5%CC%BD%F5%B1%B1,盘锦北站,13:11,13:12,1分钟,1,3小时56分,549,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C1%C9%D6%D0,辽中站,13:42,13:43,1分钟,1,4小时27分,635,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4,沈阳站,14:17,14:22,5分钟,1,5小时2分,703,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%C4%CF,沈阳南站,14:33,终点站,0分钟,1,5小时18分,718,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%C4%CF,沈阳南站,始发站,14:54,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4,沈阳站,15:05,15:10,5分钟,1,11分,15,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F5%D6%DD%C4%CF,锦州南站,16:30,16:31,1分钟,1,1小时36分,238,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BA%F9%C2%AB%B5%BA%B1%B1,葫芦岛北站,16:48,16:49,1分钟,1,1小时54分,281,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C9%BD%BA%A3%B9%D8,山海关站,17:30,17:33,3分钟,1,2小时36分,403,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C7%D8%BB%CA%B5%BA,秦皇岛站,17:50,17:52,2分钟,1,2小时56分,419,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,19:00,19:02,2分钟,1,4小时6分,567,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,20:15,终点站,0分钟,1,5小时21分,718,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,始发站,14:18,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,15:27,15:28,1分钟,1,1小时9分,151,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,16:23,16:24,1分钟,1,2小时5分,277,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BA%F9%C2%AB%B5%BA%B1%B1,葫芦岛北站,17:36,17:38,2分钟,1,3小时18分,437,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C5%CC%BD%F5%B1%B1,盘锦北站,18:17,18:18,1分钟,1,3小时59分,549,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%B1%B1,沈阳北站,19:14,19:17,3分钟,1,4小时56分,703,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%B9%AB%D6%F7%C1%EB%C4%CF,公主岭南站,20:20,20:21,1分钟,1,6小时2分,938,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A4%B4%BA,长春站,20:45,终点站,0分钟,1,6小时27分,1013,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A4%B4%BA,长春站,始发站,11:13,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%B2%FD%CD%BC%CE%F7,昌图西站,12:04,12:12,8分钟,1,51分,181,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%CC%FA%C1%EB%CE%F7,铁岭西站,12:35,12:44,9分钟,1,1小时22分,256,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%B1%B1,沈阳北站,13:04,13:07,3分钟,1,1小时51分,310,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%CB%E7%D6%D0%B1%B1,绥中北站,14:57,14:58,1分钟,1,3小时44分,635,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,17:52,终点站,0分钟,1,6小时39分,1013,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,始发站,06:39,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,08:40,08:42,2分钟,1,2小时1分,277,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C7%D8%BB%CA%B5%BA,秦皇岛站,08:59,09:01,2分钟,1,2小时20分,299,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%C9%BD%BA%A3%B9%D8,山海关站,09:19,09:22,3分钟,1,2小时40分,315,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%CB%E7%D6%D0%B1%B1,绥中北站,09:46,09:47,1分钟,1,3小时7分,378,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%BA%F9%C2%AB%B5%BA%B1%B1,葫芦岛北站,10:09,10:10,1分钟,1,3小时30分,437,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F5%D6%DD%C4%CF,锦州南站,10:27,10:29,2分钟,1,3小时48分,480,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%CC%A8%B0%B2,台安站,11:10,11:24,14分钟,1,4小时31分,604,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%B1%B1,沈阳北站,12:05,12:08,3分钟,1,5小时26分,703,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%CC%FA%C1%EB%CE%F7,铁岭西站,12:28,12:44,16分钟,1,5小时49分,757,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%CB%C4%C6%BD%B6%AB,四平东站,13:20,13:22,2分钟,1,6小时41分,883,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%B9%AB%D6%F7%C1%EB%C4%CF,公主岭南站,13:38,13:40,2分钟,1,6小时59分,938,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A4%B4%BA,长春站,14:05,14:08,3分钟,1,7小时26分,1013,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%BC%AA%C1%D6,吉林站,14:48,14:52,4分钟,1,8小时9分,1124,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%F2%D4%BA%D3%CE%F7,蛟河西站,15:18,15:20,2分钟,1,8小时39分,1189,/,//,"
/
"
16,http://shike.gaotie.cn/zhan.asp?zhan=%B6%D8%BB%AF,敦化站,15:52,15:54,2分钟,1,9小时13分,1280,/,//,"
/
"
17,http://shike.gaotie.cn/zhan.asp?zhan=%B0%B2%CD%BC%CE%F7,安图西站,16:17,16:19,2分钟,1,9小时38分,1343,/,//,"
/
"
18,http://shike.gaotie.cn/zhan.asp?zhan=%D1%D3%BC%AA%CE%F7,延吉西站,16:39,16:42,3分钟,1,10小时0分,1393,/,//,"
/
"
19,http://shike.gaotie.cn/zhan.asp?zhan=%CD%BC%C3%C7%B1%B1,图们北站,16:57,16:59,2分钟,1,10小时18分,1429,/,//,"
/
"
20,http://shike.gaotie.cn/zhan.asp?zhan=%E7%F5%B4%BA,珲春站,17:22,终点站,0分钟,1,10小时43分,1484,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%E7%F5%B4%BA,珲春站,始发站,12:44,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CD%BC%C3%C7%B1%B1,图们北站,13:07,13:08,1分钟,1,23分,55,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%D1%D3%BC%AA%CE%F7,延吉西站,13:23,13:26,3分钟,1,39分,91,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%B0%B2%CD%BC%CE%F7,安图西站,13:46,13:47,1分钟,1,1小时2分,141,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%B6%D8%BB%AF,敦化站,14:10,14:12,2分钟,1,1小时26分,204,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%F2%D4%BA%D3%CE%F7,蛟河西站,14:44,14:46,2分钟,1,2小时0分,295,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%BC%AA%C1%D6,吉林站,15:12,15:15,3分钟,1,2小时28分,360,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A4%B4%BA,长春站,15:56,16:00,4分钟,1,3小时12分,471,/,//,"
/
"
9,http://shike.gaotie.cn/zhan.asp?zhan=%CB%C4%C6%BD%B6%AB,四平东站,16:38,16:40,2分钟,1,3小时54分,601,/,//,"
/
"
10,http://shike.gaotie.cn/zhan.asp?zhan=%BF%AA%D4%AD%CE%F7,开原西站,17:04,17:05,1分钟,1,4小时20分,680,/,//,"
/
"
11,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%B1%B1,沈阳北站,17:36,17:39,3分钟,1,4小时52分,781,/,//,"
/
"
12,http://shike.gaotie.cn/zhan.asp?zhan=%C5%CC%BD%F5%B1%B1,盘锦北站,18:35,18:36,1分钟,1,5小时51分,935,/,//,"
/
"
13,http://shike.gaotie.cn/zhan.asp?zhan=%C9%BD%BA%A3%B9%D8,山海关站,19:52,19:55,3分钟,1,7小时8分,1160,/,//,"
/
"
14,http://shike.gaotie.cn/zhan.asp?zhan=%C7%D8%BB%CA%B5%BA,秦皇岛站,20:12,20:15,3分钟,1,7小时28分,1185,/,//,"
/
"
15,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,20:30,20:32,2分钟,1,7小时46分,1207,/,//,"
/
"
16,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,21:28,21:30,2分钟,1,8小时44分,1333,/,//,"
/
"
17,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,22:42,终点站,0分钟,1,9小时58分,1484,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,始发站,15:33,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,16:42,16:44,2分钟,1,1小时9分,151,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C5%CC%BD%F5%B1%B1,盘锦北站,19:35,19:36,1分钟,1,4小时2分,549,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%B1%B1,沈阳北站,20:33,20:36,3分钟,1,5小时0分,703,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%CB%C4%C6%BD%B6%AB,四平东站,21:27,21:40,13分钟,1,5小时54分,883,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A4%B4%BA%CE%F7,长春西站,22:10,终点站,0分钟,1,6小时37分,1001,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B3%A4%B4%BA%CE%F7,长春西站,始发站,07:46,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CB%C4%C6%BD%B6%AB,四平东站,08:17,08:19,2分钟,1,31分,118,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B2%FD%CD%BC%CE%F7,昌图西站,08:35,08:37,2分钟,1,49分,169,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%CC%FA%C1%EB%CE%F7,铁岭西站,09:00,09:02,2分钟,1,1小时14分,244,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%B1%B1,沈阳北站,09:22,09:25,3分钟,1,1小时36分,298,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%BA%F9%C2%AB%B5%BA%B1%B1,葫芦岛北站,10:58,10:59,1分钟,1,3小时12分,564,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,13:01,13:03,2分钟,1,5小时15分,850,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,14:14,终点站,0分钟,1,6小时28分,1001,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,始发站,10:28,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,11:37,11:39,2分钟,1,1小时9分,151,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,12:34,12:36,2分钟,1,2小时6分,277,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%C9%BD%BA%A3%B9%D8,山海关站,13:08,13:09,1分钟,1,2小时40分,315,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%BA%F9%C2%AB%B5%BA%B1%B1,葫芦岛北站,13:51,13:52,1分钟,1,3小时23分,437,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F5%D6%DD%C4%CF,锦州南站,14:09,14:10,1分钟,1,3小时41分,480,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C5%CC%BD%F5%B1%B1,盘锦北站,14:35,14:36,1分钟,1,4小时7分,549,/,//,"
/
"
